datetime,temp,humidity,precip
2020-01-01,28.8,60.1,0
2020-01-02,28.5,61.9,0
2020-01-03,28.7,62.4,0
2020-01-04,28.7,63,0
2020-01-05,29,59.4,0
2020-01-06,29.1,60.4,0
2020-01-07,29.3,61.1,0
2020-01-08,29.3,64.9,0
2020-01-09,30.3,62.9,0
2020-01-10,30.3,64.1,0
2020-01-11,29.5,75.3,16.525
2020-01-12,29.4,76.2,0
2020-01-13,28.7,76.8,1.648
2020-01-14,28.6,75.9,0
2020-01-15,28.8,73.6,0
2020-01-16,28.8,73.7,0
2020-01-17,29.1,73.3,0
2020-01-18,28.8,77.6,0
2020-01-19,29.3,75.5,0
2020-01-20,29.1,72.1,0.045
2020-01-21,29,73.9,0
2020-01-22,29.3,75.5,0
2020-01-23,29.5,74.3,0
2020-01-24,29.5,74.5,0
2020-01-25,29.1,74.4,0
2020-01-26,29.3,67.6,0
2020-01-27,28.9,60.8,0
2020-01-28,28.1,59.9,0.058
2020-01-29,28.5,65,0
2020-01-30,28,62,0
2020-01-31,27.3,56.2,0
2020-02-01,27.5,59.7,0
2020-02-02,28.2,67.3,0
2020-02-03,28.2,74.5,0
2020-02-04,28.5,73.5,0
2020-02-05,28.8,69.9,0
2020-02-06,28.8,73.2,0
2020-02-07,29.1,72.4,0
2020-02-08,29,74,0
2020-02-09,28.9,67.6,0
2020-02-10,29,53.6,0
2020-02-11,30.6,52.7,0
2020-02-12,29.5,72.7,0
2020-02-13,29.7,71.4,0
2020-02-14,29.7,72.1,0
2020-02-15,29.4,59.8,0
2020-02-16,29.6,61.6,0
2020-02-17,29.4,69,0
2020-02-18,28.9,60.2,0.054
2020-02-19,28.9,51,0
2020-02-20,29.7,55.4,0
2020-02-21,29,48.9,0
2020-02-22,29.2,46.7,0
2020-02-23,29,49,0
2020-02-24,29.6,47.2,0
2020-02-25,29,65.9,0
2020-02-26,29.4,72.4,0
2020-02-27,28.8,76.1,26.644
2020-02-28,29,75.4,0.073
2020-02-29,29,72.9,0
2020-03-01,29.9,71.1,0
2020-03-02,30,71.4,0
2020-03-03,30.2,70.9,0
2020-03-04,30.2,68.6,0
2020-03-05,30.2,70.6,0
2020-03-06,30.4,69.1,0.019
2020-03-07,29.8,72.9,0
2020-03-08,30.8,70.2,0
2020-03-09,31.4,61,0
2020-03-10,30.8,68.2,0
2020-03-11,31,67.6,0
2020-03-12,30.9,70.5,0
2020-03-13,31.4,68.6,0
2020-03-14,31.4,71.1,0
2020-03-15,27,86.4,12.179
2020-03-16,28.3,77.3,0
2020-03-17,29.9,75.6,0
2020-03-18,30.4,72,0
2020-03-19,30.4,71.4,0
2020-03-20,30.2,71.4,0
2020-03-21,30.7,69.6,0
2020-03-22,30.6,67,0
2020-03-23,30.8,67.8,0
2020-03-24,30.5,69.2,0
2020-03-25,30.3,70.3,0
2020-03-26,30.6,68.6,0
2020-03-27,31.1,68.6,0
2020-03-28,31.2,70.5,0
2020-03-29,31,70,0
2020-03-30,31.1,70.6,0
2020-03-31,31.6,67.7,0
2020-04-01,31.4,68.3,0
2020-04-02,31.4,69,0
2020-04-03,31.3,71,0.005
2020-04-04,32,68.4,0
2020-04-05,31.2,70.5,0.007
2020-04-06,31.7,69.3,0.301
2020-04-07,31.2,70.9,0
2020-04-08,31.2,69,0
2020-04-09,31.3,69.6,0
2020-04-10,31.2,70.1,0.003
2020-04-11,31,68.7,0.601
2020-04-12,31.8,67.6,0
2020-04-13,28.4,78.3,15.18
2020-04-14,29.3,74.4,0.323
2020-04-15,30.9,70.1,0
2020-04-16,30.8,70.6,1.655
2020-04-17,30.1,73.7,0
2020-04-18,30.4,71.4,0.049
2020-04-19,31.3,70.1,0.33
2020-04-20,31.6,69.7,0
2020-04-21,32.2,67,0
2020-04-22,32.7,65.1,0
2020-04-23,31.6,64.5,0.276
2020-04-24,30.4,65.5,0.003
2020-04-25,28.2,80.7,14.747
2020-04-26,30,70.1,0
2020-04-27,29.3,73.9,2.858
2020-04-28,30.5,65.9,0.033
2020-04-29,29.5,75.4,5.355
2020-04-30,30.2,74.2,7.991
2020-05-01,31.2,71.2,0.742
2020-05-02,31.5,68.2,0
2020-05-03,32.2,68.2,0
2020-05-04,31.8,69.5,0.439
2020-05-05,32.6,67.4,0
2020-05-06,32.8,67.4,0
2020-05-07,32.5,69.2,0
2020-05-08,32.4,70.3,0
2020-05-09,33.2,66.4,0
2020-05-10,32.6,68.7,0
2020-05-11,29.1,77.9,5.95
2020-05-12,30.4,68.4,0
2020-05-13,32.4,67,0
2020-05-14,31.6,70.8,0.247
2020-05-15,31.9,69.5,0
2020-05-16,32.7,66.1,0
2020-05-17,31.9,70.1,3.048
2020-05-18,32,69.4,2.119
2020-05-19,32,68,0.008
2020-05-20,31.9,66.8,0.729
2020-05-21,32.3,66.2,0
2020-05-22,33.1,62.8,0
2020-05-23,32.2,69.7,1.039
2020-05-24,30.5,80.1,0.477
2020-05-25,29.8,81.7,4.983
2020-05-26,29.7,80.6,1.42
2020-05-27,31.2,69.2,0
2020-05-28,31.4,66.6,0
2020-05-29,30,74.9,15.293
2020-05-30,28.7,81.4,19.22
2020-05-31,29.7,76.3,30.964
2020-06-01,31.2,70.7,2.962
2020-06-02,29.7,75.2,17.886
2020-06-03,28.3,80.5,2.398
2020-06-04,28.9,81,1.979
2020-06-05,29.2,81.7,2.263
2020-06-06,29.7,78.8,1.162
2020-06-07,29.8,77.8,0.715
2020-06-08,29.4,78.4,6.022
2020-06-09,29,80,0.284
2020-06-10,30.2,72.7,0.008
2020-06-11,30.7,68.5,0
2020-06-12,31.3,66.4,0
2020-06-13,31.7,64.8,0
2020-06-14,31.7,66.5,0.405
2020-06-15,28.3,84.2,34.237
2020-06-16,28.6,80.9,18.224
2020-06-17,26.6,92.5,36.651
2020-06-18,28.5,80.3,0.088
2020-06-19,29.2,80.4,9.11
2020-06-20,30.8,69.3,0.029
2020-06-21,31.6,70.5,1.159
2020-06-22,30.3,76,33.769
2020-06-23,29.5,79.8,0.174
2020-06-24,30.8,75.2,0.182
2020-06-25,30.9,75,0.174
2020-06-26,29.5,76.3,7.49
2020-06-27,30.3,69.1,0
2020-06-28,29.8,70.9,0.016
2020-06-29,29.9,74.7,3.899
2020-06-30,30.4,70.1,0.892
2020-07-01,29.7,68,2.802
2020-07-02,29.1,74.2,4.594
2020-07-03,28.6,75.6,20.071
2020-07-04,28.2,79.3,2.136
2020-07-05,30.5,66.4,0.157
2020-07-06,30.9,64.1,0.002
2020-07-07,29.4,79.7,6.636
2020-07-08,30.2,76.7,4.254
2020-07-09,31.2,70.2,0
2020-07-10,31.2,69.3,0.346
2020-07-11,31,67.9,0
2020-07-12,30.9,70.9,0.01
2020-07-13,29.6,76.3,11.592
2020-07-14,27.9,83.5,22.3
2020-07-15,28.8,79.8,5.567
2020-07-16,28.8,79.1,2.156
2020-07-17,30.2,73.4,0.004
2020-07-18,30,75.5,2.93
2020-07-19,30.6,75.6,1.977
2020-07-20,29.4,79.8,3.738
2020-07-21,28.5,81.9,1.798
2020-07-22,28.6,82.1,3.893
2020-07-23,29.7,76.6,16.359
2020-07-24,28.6,82.2,76.099
2020-07-25,28,84,8.659
2020-07-26,29.5,78.8,8.029
2020-07-27,30.9,71.3,0.2
2020-07-28,29.3,78.8,23.068
2020-07-29,29.9,74.1,8.691
2020-07-30,30.4,68.9,0.002
2020-07-31,30.6,68,0.394
2020-08-01,30.3,67.1,0
2020-08-02,29,72.7,1.769
2020-08-03,29,75,1.054
2020-08-04,28.5,81.8,16.391
2020-08-05,28.7,80.4,3.012
2020-08-06,29.9,72,0.255
2020-08-07,28.1,81.8,2.592
2020-08-08,28.1,84,8.206
2020-08-09,30.1,76.8,0
2020-08-10,30,72.7,2.977
2020-08-11,29.8,72.1,0.042
2020-08-12,29.2,78.7,14.041
2020-08-13,28.1,83.5,8.013
2020-08-14,26.5,88.7,25.457
2020-08-15,27,87.1,2.759
2020-08-16,29.2,79.3,0.208
2020-08-17,29.2,77.5,0.163
2020-08-18,30.1,69.4,0.062
2020-08-19,29.6,72.1,11.376
2020-08-20,29.5,74.8,3.894
2020-08-21,29.4,75.1,1.093
2020-08-22,28.8,78.6,19.249
2020-08-23,28.5,81,5.323
2020-08-24,30.1,68.5,1.734
2020-08-25,31.2,64.8,0.001
2020-08-26,31.6,61.7,0
2020-08-27,30.9,61.7,0
2020-08-28,28.8,75.7,25.354
2020-08-29,29.8,70.7,0
2020-08-30,30.2,76.7,2.077
2020-08-31,30.2,77.7,16.929
2020-09-01,28.2,82.9,76.299
2020-09-02,29.6,77.3,1.757
2020-09-03,29.9,74.7,3.848
2020-09-04,30.3,76.4,0.734
2020-09-05,30,77.5,33.314
2020-09-06,30.3,75.5,2.634
2020-09-07,29.7,77.6,4.041
2020-09-08,29.6,75.7,0.702
2020-09-09,29.1,81.7,3.46
2020-09-10,29.7,79.7,13.988
2020-09-11,30.1,76,0.153
2020-09-12,29.6,78.2,2.455
2020-09-13,29.4,80.1,4.281
2020-09-14,29.6,79.9,11.173
2020-09-15,28.5,82.5,44.789
2020-09-16,29.6,76.9,6.632
2020-09-17,30.4,72.9,0.205
2020-09-18,28.6,78.6,1.936
2020-09-19,27.1,88.8,10.087
2020-09-20,27.4,87.3,5.409
2020-09-21,28.1,85.4,0.886
2020-09-22,29.1,81.8,5.729
2020-09-23,28.4,87.3,36.713
2020-09-24,27.7,83.3,3.085
2020-09-25,29.8,71.3,0
2020-09-26,30.6,67.3,0
2020-09-27,30.1,71.3,46.444
2020-09-28,27.3,87.6,20.944
2020-09-29,27.9,86.1,36.311
2020-09-30,29.1,77.1,0.574
2020-10-01,29.5,72.7,7.357
2020-10-02,28.2,82.3,99.934
2020-10-03,27.2,89.3,21.703
2020-10-04,28.1,84.8,23.361
2020-10-05,28.7,82.4,12.159
2020-10-06,28.2,84.1,0.854
2020-10-07,29.1,78.3,0.456
2020-10-08,26.1,87.9,13.011
2020-10-09,25.3,93.5,11.035
2020-10-10,25.5,89.2,12.103
2020-10-11,26,88.5,3.656
2020-10-12,27.5,80.9,0.209
2020-10-13,25.1,90.3,19.134
2020-10-14,27.4,82.3,9.98
2020-10-15,29.1,75.9,0.568
2020-10-16,26.9,91.3,45.518
2020-10-17,24.9,95.3,27.937
2020-10-18,23.8,92.1,8.939
2020-10-19,25.2,87.8,0.036
2020-10-20,26.1,83,0.718
2020-10-21,26.8,78.5,0
2020-10-22,27.9,72.8,0
2020-10-23,28.2,68.4,0
2020-10-24,28,61.5,0
2020-10-25,28,64,0
2020-10-26,28.3,69.2,0
2020-10-27,27.4,75.3,0
2020-10-28,28,78.1,0
2020-10-29,27,82.6,5.091
2020-10-30,27.1,84.1,2.291
2020-10-31,27.1,89.6,23.069
2020-11-01,27.4,84.9,0.008
2020-11-02,29.1,75.4,0
2020-11-03,29.7,65,0.072
2020-11-04,28.9,69,0
2020-11-05,28.6,69.4,0
2020-11-06,28.5,71.3,1.318
2020-11-07,27.2,75.9,1.174
2020-11-08,27.8,70.7,0.198
2020-11-09,27.8,63.7,0
2020-11-10,27.5,61.2,0
2020-11-11,25.6,65.5,0.015
2020-11-12,24.7,76.3,0.113
2020-11-13,27.6,59.8,0
2020-11-14,27.1,53.5,0
2020-11-15,27.8,54.8,0
2020-11-16,28.6,65,0
2020-11-17,29.7,67.3,0
2020-11-18,30.3,67.3,0
2020-11-19,31,64.9,0
2020-11-20,30.3,71.1,4.041
2020-11-21,28.2,81.9,15.653
2020-11-22,28,83,23.971
2020-11-23,28.9,77.8,5.748
