Title,Price,Material A,A Percent,Material B,B Percent
Mango cardigan in beige,£35.00,Acrylic,0.5,Polyester,0.35
& Other Stories mock neck sweater in black,£35.00,Polyester,0.52,Acrylic,0.38
River Island slouch cable knit jumper in lime,£29.99,Cotton,1.0,NaN,0.0
ASOS DESIGN jumper in pointelle stitch and open back detail in black,£30.00,Acrylic,1.0,NaN,0.0
Topshop knitted textured cable jumper in pink,£40.00,Polyester,0.69,Acrylic,0.31
Neon & Nylon textured mesh maxi cardigan in pink,£29.99,Nylon,0.9,Elastane,0.1
Vila cable knit jumper with frill detail in cream ,£45.00,Polyester,0.5,Acrylic,0.32
ASOS DESIGN Curve knitted top with scoop neck with rib bust detail in dark red,£18.00,Polyester,0.89,Nylon,0.11
Miss Selfridge tie front cardi with butterfly trim in white,£29.99,Viscose,0.51,Polyester,0.31
JDY Petite seam detail high neck jumper in camel,£28.00,Polyester,0.78,Viscose,0.22
Urban Revivo bold stripe funnel neck jumper in monochrome,£18.00,Viscose,0.53,Polyester,0.28
ASOS DESIGN Petite chunky v neck jumper in grey,£28.00,Acrylic,0.5,Polyester,0.5
Threadbare ellie high neck jumper in sage green,£26.00,Viscose,0.8,Nylon,0.2
ASOS DESIGN super soft co-ord roll neck with cuff detail in charcoal marl,£26.00,Polyester,0.56,Cotton,0.44
Vero Moda oversized jumper with contrast stitch detail in mono ,£26.00,Polyester,0.96,Elastane,0.04
Miss Selfridge fitted lash jumper in orange ,£25.99,Nylon,0.65,Acrylic,0.35
Violet Romance oversized cardigan in orange,£25.99,Acrylic,1.0,NaN,0.0
JJXX soft crew neck jumper in black,£25.99,Viscose,0.8,Nylon,0.18
ASOS DESIGN Curve jumper with open ladder stitch detail in cream,£32.99,Acrylic,1.0,NaN,0.0
ASOS DESIGN Curve deconstructed crew neck jumper in burgundy,£32.99,Acrylic,0.8,Polyester,0.2
Noisy May lightweight longline cardigan in black,£32.99,Polyester,0.97,Elastane,0.03
ASOS DESIGN Maternity rib jumper with v neck in dark green,£32.99,Viscose,0.82,Nylon,0.16
Calvin Klein Jeans logo mock neck jumper in black,£32.99,Cotton,1.0,NaN,0.0
Cotton:On crop knitted sweater in multi wave,£32.99,Polyester,0.8,Acrylic,0.1
& Other Stories merino rib knit fitted jumper in grey,£32.99,Wool,1.0,NaN,0.0
ASOS DESIGN Curve zip through bardot cardigan in rib in cream,£32.99,Acrylic,0.51,Cotton,0.49
Bershka cable knit roll neck jumper in blue,£32.99,Acrylic,0.85,Polyamide,0.1
JDY jumper in multi abstract print,£32.99,Acrylic,0.8,Polyester,0.2
Cotton:On boyfriend cardigan in multi ,£32.99,Cotton,1.0,NaN,0.0
ASOS DESIGN Petite jumper in loose sheer knit yarn in lilac,£32.99,Acrylic,0.8,Polyester,0.2
Monki slouchy knitted jumper in orange,£32.99,Polyester,0.52,Acrylic,0.41
HIIT rib button lounge cardigan,£32.99,Polyester,0.92,Elastane,0.08
Vero Moda Curve v-neck jumper in purple,£32.99,Acrylic,0.7,Nylon,0.27
COLLUSION skate slogan fine knit jumper in white,£32.99,Acrylic,1.0,NaN,0.0
Bershka shoulder detail mixed knit jumper in cream,£32.99,Polyester,0.51,Acrylic,0.44
ASOS DESIGN double ended sporty zip through cardigan with contrast trim in navy,£32.99,Acrylic,1.0,Polyester,1.0
Native Youth relaxed jumper with high neck in checkerboard knit,£32.99,Acrylic,1.0,NaN,0.0
ASOS DESIGN cropped jumper in mini cable stitch in cream,£32.99,Acrylic,0.4,Nylon,0.32
Only Curve roll neck jumper in black,£32.99,Viscose,0.82,Nylon,0.16
Topshop knitted boucle stripe jumper in rust and blue,£32.99,Polyester,0.7,Acrylic,0.26
ASOS DESIGN jumper with open collar in textured green stripe ,£32.99,Acrylic,1.0,NaN,0.0
Vila Curve cut out sleeve jumper in cream,£32.99,Polyester,0.95,Elastane,0.05
Vila longline jumper with side split in cream,£32.99,Polyester,0.95,Elastane,0.05
Vila Curve high neck jumper in brown,£32.99,Polyester,0.52,Acrylic,0.41
Labelrail x Holly Marston off shoulder asymmetric fluffy knit jumper in tiger,£32.99,Polyamide,1.0,NaN,0.0
Pieces Tall high neck jumper in light grey marl,£32.99,Polyester,0.82,Acrylic,0.15
Pull&Bear open knit cropped jumper in pale grey,£32.99,Polyester,1.0,NaN,0.0
River Island Plus longline cardigan in beige and black stripe,£32.99,Viscose,0.5,Polyester,0.27
Pull&Bear cable knit crop jumper in ecru,£32.99,Cotton,0.51,Acrylic,0.49
ASOS DESIGN knitted off should jumper with button front in green,£32.99,Viscose,0.68,Nylon,0.32
ASOS DESIGN off shoulder zip through cardigan in rib in cream,£32.99,Acrylic,0.51,Cotton,0.49
Pimkie ombre textured pointelle jumper in pink and orange stripe,£32.99,Acrylic,0.56,Polyamide,0.44
ASOS DESIGN jumper with vertical stripe pattern in black and white,£32.99,Polyester,1.0,NaN,0.0
Levi's graphic crew neck sweatshirt in pink ,£32.99,Cotton,1.0,NaN,0.0
Noisy May cropped cardigan in green check,£32.99,Acrylic,1.0,NaN,0.0
Miss Selfridge diamante shoulder fluffy cable knit jumper in ivory ,£32.99,Nylon,0.66,Acrylic,0.34
Topshop knitted shaggy jumper in black,£32.99,Polyester,0.53,Acrylic,0.42
ASOS DESIGN Curve jumper with loose textured stitch in pink,£32.99,Nylon,0.45,Acrylic,0.41
ASOS DESIGN scoop neck cardi with short sleeves in pointelle stitch in cream,£32.99,Cotton,0.52,Acrylic,0.48
NA-KD x Moa Mattson button detail ribbed cardigan in beige,£32.99,Acrylic,0.63,Polyester,0.25
ASOS DESIGN jumper in rib with cut out side detail in navy,£32.99,Viscose,0.68,Polyamide,0.32
River Island Plus v-neck stripe jumper in black and white,£32.99,Viscose,0.5,Polyester,0.27
Vero Moda high neck knitted jumper in pink ,£32.99,Polyester,0.98,Elastane,0.02
River Island cable knit jumper with pearl embellishment in cream,£32.99,Acrylic,0.9,Polyester,0.06
ASOS DESIGN edge to edge chunky cardigan in navy,£32.99,Polyester,0.75,Acrylic,0.21
In The Style Plus 2 in white jumper and shirt in black,£32.99,Acrylic,0.7,Polyester,0.27
ASOS DESIGN rib jumper with v neck in cream,£32.99,Viscose,0.82,Nylon,0.16
Dickies elkhart knitted zip cardigan in blue,£32.99,Cotton,1.0,NaN,0.0
ASOS DESIGN Curve chunky oversized v neck jumper in brushed yarn in grey,£32.99,Polyester,0.68,Nylon,0.23
JDY roll neck longline jumper in light brown,£32.99,Viscose,0.63,Polyester,0.33
Native Youth whipstich wide arm cropped jumper in blue and orange,£32.99,Polyester,0.7,Nylon,0.21
Hollister logo cardigan in white with navy tipping,£32.99,Cotton,0.6,Nylon,0.2
ASOS DESIGN crew neck boxy jumper with seam front in lime,£32.99,Cotton,0.6,Acrylic,0.4
ASOS DESIGN chunky jumper in dogtooth pattern in green,£32.99,Polyester,0.85,Acrylic,0.15
Pimkie knitted v neck jumper in blue,£32.99,Viscose,0.5,Polyester,0.28
Mango half zip wide stripe jumper in navy & white,£32.99,Viscose,0.5,Polyester,0.28
Tommy Jeans badge logo cable knit cardigan in white,£32.99,Acrylic,0.5,Polyester,0.5
Wednesday's Girl spacedye fluffy v-neck jumper in rainbow ombre,£32.99,Acrylic,1.0,NaN,0.0
