datetime,temp,humidity,precip
2020-01-01,5.5,89.3,0.015
2020-01-02,7.6,87,0.052
2020-01-03,6.5,84.9,0.534
2020-01-04,6.8,86.1,0.067
2020-01-05,7.4,89.8,0.155
2020-01-06,7.4,82.3,0.843
2020-01-07,9.1,86.8,0.228
2020-01-08,8.4,79.8,0.015
2020-01-09,5.9,90.6,6.793
2020-01-10,4.7,84.2,0.01
2020-01-11,9.4,85.3,0.484
2020-01-12,6.7,92.5,15.863
2020-01-13,5.7,88.4,5.678
2020-01-14,6.8,85.7,5.58
2020-01-15,6.1,79.8,0.322
2020-01-16,8,85.1,1.036
2020-01-17,5.4,89.8,3.74
2020-01-18,3.3,87.9,1.264
2020-01-19,0.5,94.9,0.14
2020-01-20,2.5,93.3,0.026
2020-01-21,5.1,96.7,0.017
2020-01-22,7.5,98.9,0.563
2020-01-23,6.4,98.8,0.189
2020-01-24,6.5,97,0.365
2020-01-25,5.7,93.2,0.459
2020-01-26,6.2,92.3,2.573
2020-01-27,4.8,86.6,0.818
2020-01-28,3.8,84.9,3.246
2020-01-29,6.3,79.9,2.903
2020-01-30,8.8,83.4,0.015
2020-01-31,9.9,86.1,0.826
2020-02-01,8.6,74.8,0.127
2020-02-02,7.7,88.3,2.033
2020-02-03,6.8,77.3,0.834
2020-02-04,6,84.2,2.412
2020-02-05,4,92.1,0
2020-02-06,2.4,89.4,0.147
2020-02-07,3.9,85.1,0.009
2020-02-08,7.5,76.3,0.503
2020-02-09,9.5,83.7,25.361
2020-02-10,4.7,72.8,2.935
2020-02-11,4,69.6,1.713
2020-02-12,3.9,73.2,0.387
2020-02-13,4.7,90.3,6.358
2020-02-14,5.3,90.1,1.603
2020-02-15,9.3,90.1,5.377
2020-02-16,7.1,79,21.236
2020-02-17,6.1,73.5,0.729
2020-02-18,5.3,78.7,1.247
2020-02-19,5.5,85.9,5.808
2020-02-20,6.5,81.8,6.629
2020-02-21,7.4,82.4,2.304
2020-02-22,8.2,77.4,8.185
2020-02-23,5.7,85.1,19.806
2020-02-24,6.6,85.2,14.349
2020-02-25,3.7,85.2,1.598
2020-02-26,3.5,82,7.405
2020-02-27,3.2,83.7,2.759
