Material,Warm,Breathability,Comfort,Waterproof,Stretch,Moisturewick
Polyester,0.5,-0.5,0.5,-1,0.5,1
Paper,-1,-1,-1,-1,-1,-1
Polyurethane,-0.5,0.5,0.5,1,1,1
Metal,-1,-1,-1,-1,-1,-1
Metallised,-1,-1,-1,-1,-1,-1
Cashmere,0.5,1,1,-1,0.5,1
Elastane,-0.5,0.5,0.5,-1,1,1
Lyocell,0.5,0.5,1,-1,-0.5,1
Nylon,0.5,-0.5,0.5,0.5,1,0.5
Polyacrylate,-1,-1,-1,-1,-1,-1
Spandex,-0.5,0.5,0.5,-1,1,1
Polyamide,0.5,-0.5,0.5,0.5,1,0.5
Metallic,-1,-1,-1,-1,-1,-1
Cotton,0,1,1,-1,0.5,1
Polyacrylic,1,-0.5,0.5,-1,1,1
Rayon,0,1,1,-1,0.5,1
Alpaca,1,1,1,-1,0.5,1
Linen,-0.5,1,1,-1,-0.5,1
Wool,1,0.5,-0.5,0.5,0.5,1
Other,-1,-1,-1,-1,-1,-1
Acetate,-1,-1,1,0.5,-1,-0.5
Viscose,0,1,1,-1,0.5,1
Mohair,1,0.5,1,-0.5,1,0.5
nan,-1,-1,-1,-1,-1,-1
Lambs,1,0.5,-0.5,0.5,0.5,1
Merino,1,0.5,1,-0.5,0.5,1
Acrylic,1,-0.5,0.5,-1,1,1
Tencel,0.5,0.5,1,-1,-0.5,1
