datetime,temp,humidity,precip
2020-01-01,-13.8,87.5,1.2
2020-01-02,-13.8,86,1.6
2020-01-03,-17,83.5,0
2020-01-04,-17.5,84.3,0.4
2020-01-05,-23.9,78.8,0
2020-01-06,-30.6,72.4,0
2020-01-07,-35.2,70.3,0
2020-01-08,-37.8,67.9,0
2020-01-09,-38.2,67.7,0
2020-01-10,-38.2,67.1,0
2020-01-11,-39.2,67,0
2020-01-12,-41,65.2,0
2020-01-13,-39.2,65.8,0
2020-01-14,-36.6,68.8,0
2020-01-15,-36.1,69.5,0
2020-01-16,-35.8,68.6,0
2020-01-17,-28.8,74.3,0
2020-01-18,-34.9,69.2,0
2020-01-19,-27.2,76.2,0.4
2020-01-20,-23.5,78.2,0
2020-01-21,-21.7,79,0
2020-01-22,-19.6,81.7,0
2020-01-23,-19.4,81.9,0
2020-01-24,-15.5,84.7,0
2020-01-25,-14.5,86.1,0.8
2020-01-26,-13.9,86.6,0.2
2020-01-27,-10.9,88.6,0
2020-01-28,-17.8,84.4,0
2020-01-29,-15,84.7,1.6
2020-01-30,-18.2,83.7,0
2020-01-31,-21.1,81.4,0
2020-02-01,-27.5,74.6,0
2020-02-02,-28.6,74.7,0
2020-02-03,-29.5,73.6,0
2020-02-04,-32.5,71.8,0
2020-02-05,-26.7,76.1,0
2020-02-06,-21.9,79.6,0.2
2020-02-07,-22.2,80,0
2020-02-08,-20.5,80.9,1.6
2020-02-09,-19.1,82.6,0
2020-02-10,-19.2,81.3,0.7
2020-02-11,-34.1,68.9,0
2020-02-12,-34.5,69.4,0
2020-02-13,-21.7,76.2,2.2
2020-02-14,-22.6,72.1,1.2
2020-02-15,-30.5,70.6,0
2020-02-16,-34.2,69.4,0
2020-02-17,-32.3,68.7,0
2020-02-18,-28.9,70.8,0
2020-02-19,-19.2,80.4,0
2020-02-20,-2.9,73,0
2020-02-21,-11.5,83.6,0
2020-02-22,-18.2,74,0
2020-02-23,-22,70.3,0.2
2020-02-24,-26.4,68.9,0
2020-02-25,-22.3,75.2,0
2020-02-26,-16.7,80.3,0.4
2020-02-27,-13.1,83.5,0.4
2020-02-28,-16.9,76.6,0.8
2020-02-29,-21.7,72.6,0.4
2020-03-01,-26.7,73.9,1
2020-03-02,-20.8,74.2,0.2
2020-03-03,-19.7,74.9,0.6
2020-03-04,-22.8,74,0
2020-03-05,-25,69.2,0
2020-03-06,-26.4,59.6,0
2020-03-07,-27.5,61.6,0
2020-03-08,-20.8,70.4,0
2020-03-09,-20,73.6,0
2020-03-10,-12.3,76.2,0
2020-03-11,-16.7,66.4,0
2020-03-12,-23.6,70.3,0.8
2020-03-13,-26.1,66.4,0.4
2020-03-14,-19.9,67,0
2020-03-15,-7.9,71,0.4
2020-03-16,-20.4,57.6,0
2020-03-17,-24.1,65.6,0
2020-03-18,-22.7,67,0
2020-03-19,-19.4,70.7,0
2020-03-20,-9.3,73.8,0
2020-03-21,-3.8,77.7,1
2020-03-22,-4.4,78.2,0
2020-03-23,-13.8,64.9,0.3
2020-03-24,-21,68.5,0
2020-03-25,-9.9,72.7,0.2
2020-03-26,-12.9,65.8,0
2020-03-27,-20,68.2,0.2
2020-03-28,-25.5,62.1,0
2020-03-29,-24.1,58.2,0
2020-03-30,-20.7,53.2,0
2020-03-31,-20,52,0
2020-04-01,-19.7,53.3,0
2020-04-02,-20.9,69.8,1
2020-04-03,-16.4,75.6,2.2
2020-04-04,-16.1,62.6,0
2020-04-05,-10.2,56.4,0
2020-04-06,-7,68.6,0
2020-04-07,-4.3,74.5,0.2
2020-04-08,-5.7,59.9,0
2020-04-09,-6.5,79.6,0.8
2020-04-10,-10.7,73.5,0
2020-04-11,-12,63.6,0
2020-04-12,-13.8,59.1,0
2020-04-13,-10.9,59.1,0
2020-04-14,-5.5,70.4,0.6
2020-04-15,-7.4,77.9,0
2020-04-16,-4,78.4,0
2020-04-17,-1.8,70,0
2020-04-18,-5.6,78,0
2020-04-19,-6.1,67.8,0.8
